sssom_subject_id	sssom_subject_label	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_label	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_reviewer_id	sssom_reviewer_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:latestEonOrHighestEonothem	Latest Eon Or Highest Eonothem	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:latestEpochOrHighestSeries	Latest Epoch Or Highest Series	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:latestEraOrHighestErathem	Latest Era Or Highest Erathem	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:latestPeriodOrHighestSystem	Latest Period Or Highest System	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:bed	Bed	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/bed	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:formation	Formation	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/formation	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:group	Group	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/group	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:member	Member	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/member	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:highestBiostratigraphicZone	Highest Biostratigraphic Zone	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:lowestBiostratigraphicZone	Lowest Biostratigraphic Zone	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:geodeticDatum	Geodetic Datum	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1277	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/geodeticDatum	https://tdwg.github.io    /mids-reorganization/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:coordinateUncertaintyInMeters	Coordinate Uncertainty In Meters	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1278	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters	https://tdwg.github.io    /mids-reorganization/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:coordinatePrecision	Coordinate Precision	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/coordinatePrecision	https://tdwg.github.io    /mids-reorganization/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	owl:intersectionOf	dwc:footprintSRS	Footprint SRS	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1281	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/footprintSRS	https://tdwg.github.io    /mids-reorganization/information-elements#GeographicalLocalityID	dwc
mids:GeographicalLocalityID	Geographical Locality ID	mids:MIDS3	skos:exactMatch	dwc:locationID	Location ID	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/locationID	https://tdwg.github.io    /mids-reorganization/information-elements#GeographicalLocalityID	dwc
